# Bright-star catalogue for hordewatch.astro: all Hipparcos stars with V <= 5.0 (1625 stars)
# Source: HYG database v4.1 (astronexus), https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
# HYG = Hipparcos + Yale Bright Star Catalog + Gliese; licence CC BY-SA 4.0 (http://creativecommons.org/licenses/by-sa/4.0/)
# ra_deg/dec_deg: ICRS/J2000, epoch J2000 (HYG ra hours x 15); pmra = mu_alpha* (mas/yr, x cos dec); vmag = V
# Generated by hordewatch.astro.stars.build_catalogue_from_hyg; sorted by vmag (row k = k-th brightest)
name,hip,ra_deg,dec_deg,pmra_mas_yr,pmdec_mas_yr,vmag
Albali,102618,311.918970,-9.495776,31.89,-35.32,3.78
60Iot Gem,36046,111.431685,27.798080,-121.28,-84.43,3.78
HIP 53253,53253,163.373385,-58.853171,79.75,38.65,3.78
Praecipua,53229,163.327890,34.214871,92.47,-286.06,3.79
Misam,14668,47.373870,44.857544,173.01,-142.05,3.79
HIP 37229,37229,114.707790,-26.803836,-17.00,23.08,3.80
13Del Ser,76276,233.700615,10.538867,-72.63,3.17,3.80
1Kap Cyg,94779,289.275600,53.368459,60.22,122.93,3.80
31 Cyg,99675,303.407940,46.741329,4.20,1.87,3.80
Dalim,14879,48.018735,-28.987618,371.49,612.26,3.80
Theemin,21393,68.887680,-30.562341,-48.92,-12.75,3.81
16Lam And,116584,354.390840,46.458152,159.22,-421.46,3.81
8Gam CrB,76952,235.685715,26.295637,-112.52,50.70,3.81
HIP 51232,51232,156.969735,-58.739403,-13.25,2.21,3.81
38 Lyn,45688,139.711035,36.802597,-32.61,-123.78,3.82
Marfik,80883,247.728435,1.983923,-31.37,-73.00,3.82
85Iot Her,86414,264.866205,46.006332,-7.17,3.97,3.82
Alrescha,9487,30.511755,2.763759,33.29,-0.42,3.82
Giausar,56211,172.851105,69.331076,-41.14,-18.79,3.82
Alp Aps,72370,221.965515,-79.044751,-5.67,-15.75,3.83
42Mu Hya,51069,156.522630,-16.836290,-128.51,-80.06,3.83
Phi Cen,68245,209.567790,-42.100753,-23.68,-19.82,3.83
Polis,89341,273.440880,-21.058834,1.72,-1.39,3.84
Atik,17448,56.079720,32.288248,8.11,-10.32,3.84
63Eps Dra,97433,297.042750,70.267930,80.18,39.02,3.84
47Rho Leo,51624,158.202795,9.306586,-5.57,-3.59,3.84
HIP 51986,51986,159.325755,-48.225620,-131.48,-1.58,3.84
77The1Tau,20885,67.143720,15.962181,104.76,-15.01,3.84
Bet Ret,17440,56.048895,-64.806903,308.39,78.72,3.84
103Omi Her,88794,271.885620,28.762488,-0.17,7.51,3.84
HIP 43783,43783,133.761855,-60.644609,-28.18,42.24,3.84
Gam Mus,61199,188.117010,-72.132988,-50.59,-5.16,3.84
HIP 50191,50191,153.684105,-42.121942,-150.68,49.84,3.85
Tau Cen,61622,189.425910,-48.541304,-186.61,-6.45,3.85
Bet Pic,27321,86.821185,-51.066514,4.65,81.96,3.85
41Gam Ser,78072,239.113230,15.661617,311.20,-1282.17,3.85
109 Her,90139,275.924505,21.769752,195.54,-242.92,3.85
Alp Sct,91117,278.801775,-8.244073,-18.98,-314.63,3.85
Del Col,30277,95.528460,-33.436400,-24.19,-52.48,3.85
5Kap Dra,61281,188.370870,69.788238,-58.14,11.42,3.85
Alp Hor,19747,63.500445,-42.294368,41.89,-203.65,3.85
Sceptrum,21594,69.545100,-14.304020,-77.86,-178.06,3.86
91The Her,87808,269.063250,37.250539,2.74,7.24,3.86
37Mu And,4436,14.188275,38.499345,152.78,36.82,3.86
Sadachbia,110395,335.414070,-1.387331,129.24,8.90,3.86
Gam Aps,81065,248.364135,-78.897148,-125.68,-77.59,3.86
Del TrA,79664,243.859455,-63.685682,3.51,-13.49,3.86
Eps Col,25859,82.803135,-35.470519,28.36,-34.11,3.86
Iklil,78104,239.221155,-29.214073,-15.20,-25.10,3.87
107Mu Vir,71957,220.765095,-5.658207,104.23,-319.90,3.87
HIP 43023,43023,131.506860,-46.041527,-12.23,4.82,3.87
Ups1Cen,68282,209.669805,-44.803584,-27.97,-21.69,3.87
Maia,17573,56.456685,24.367748,21.09,-45.03,3.87
55Eta Aql,97804,298.118205,1.005661,6.94,-7.30,3.87
Iot Gru,114421,347.589600,-45.246711,132.42,-26.27,3.88
Rasalas,48455,148.190970,26.006951,-216.29,-54.92,3.88
Eps Phe,765,2.352540,-45.747426,122.15,-180.13,3.88
Mesarthim,8832,28.382550,19.293852,79.43,-99.10,3.88
Kap1Lup,74376,227.983770,-48.737819,-96.52,-47.97,3.88
22The Hya,45336,138.591075,2.314280,112.57,-306.07,3.89
16Omi1CMa,33152,103.533135,-24.184211,-3.46,5.02,3.89
Azha,13701,44.106870,-8.898144,77.73,-219.99,3.89
Zaniah,60129,184.976490,-0.666803,-59.14,-23.13,3.89
21Eta Cyg,98110,299.076570,35.083424,-34.00,-27.60,3.89
HIP 65936,65936,202.761075,-39.407307,-15.65,-11.25,3.90
Ukdah,47431,144.964005,-1.142810,47.81,-62.92,3.90
Pi Cen,55425,170.251755,-54.491019,-35.32,-2.20,3.90
HIP 41307,41307,126.415140,-3.906424,-66.05,-24.20,3.91
Pi Lup,73807,226.279545,-47.051245,-23.39,-21.11,3.91
Zubenelhakrabi,76333,233.881575,-14.789537,65.67,6.93,3.91
Sig Cen,60823,187.009965,-50.230635,-32.49,-12.41,3.91
38Nu Tau,18907,60.789090,5.989305,5.52,-1.63,3.91
22Tau Her,79992,244.935165,46.313366,-13.15,39.31,3.91
Kitalpha,104987,318.955965,5.247845,59.63,-94.33,3.92
44Rho1Sgr,95168,290.418165,-17.847197,-26.95,22.24,3.92
58Eps Her,83207,255.072405,30.926405,-47.68,26.89,3.92
Del Phe,7083,22.812765,-49.072702,138.22,154.20,3.93
Kap Phe,2072,6.550740,-43.679829,106.14,32.83,3.93
Zet Vol,37504,115.455060,-72.606098,33.38,15.29,3.93
9Ome1Sco,78933,241.701780,-20.669192,-10.55,-23.73,3.93
67 Oph,88192,270.161310,2.931568,0.41,-8.22,3.93
48Nu Eri,21444,69.079755,-3.352459,1.73,-4.54,3.93
HIP 54463,54463,167.147475,-58.975037,-5.03,2.09,3.93
18Tau Per,13531,43.564425,52.762479,-1.99,-4.53,3.93
Asellus Australis,42911,131.171250,18.154309,-17.10,-228.46,3.94
26Alp Mon,37447,115.311810,-9.551131,-74.80,-19.64,3.94
Wurren,5348,17.096130,-55.245760,21.17,29.70,3.94
3 Pup,37677,115.951950,-28.954826,-4.57,3.88,3.94
58Nu Cyg,103413,314.293395,41.167136,8.51,-23.97,3.94
7Nu 2CMa,31592,99.170985,-19.255879,62.32,-69.91,3.95
50 Cas,9598,30.859020,72.421294,-44.00,22.51,3.95
98 Aqr,115438,350.742630,-20.100580,-120.27,-96.70,3.96
Eta Col,28328,89.786670,-42.815135,18.53,-11.45,3.96
Rukbat,95347,290.971545,-40.615940,32.67,-120.81,3.96
Arkab Prior,95241,290.659545,-44.458965,7.31,-22.43,3.96
48 Per,19343,62.165355,47.712513,20.19,-33.26,3.96
HIP 44248,44248,135.160275,41.782911,-487.67,-219.29,3.96
HIP 45101,45101,137.819775,-62.316977,-38.04,15.93,3.96
32 Cyg,99848,303.868005,47.714208,3.88,1.20,3.96
Eps Pav,98495,300.147675,-72.910504,80.54,-131.34,3.97
Rho Cen,59449,182.913030,-52.368460,-42.17,-18.39,3.97
Bet Pyx,42515,130.025595,-35.308352,9.68,-21.18,3.97
Beemim,20535,66.009195,-34.016846,73.77,57.57,3.97
32Nu Aur,27673,87.872490,39.148480,8.48,0.39,3.97
5Chi Lup,77634,237.739740,-33.627165,-5.92,-24.91,3.97
Del Vol,35228,109.207620,-67.957152,-4.11,8.50,3.97
47Lam Peg,112440,341.632815,23.565654,56.99,-10.46,3.97
Del1Gru,110997,337.317375,-43.495565,25.62,-4.23,3.97
Menkib,18614,59.741250,35.791033,1.92,2.30,3.98
73Rho Cyg,106481,323.495250,45.591837,-24.48,-93.88,3.98
59Ups Cet,9347,30.001260,-21.077831,133.01,-24.53,3.99
Alcor,65477,201.306195,54.987958,120.35,-16.94,3.99
HIP 50954,50954,156.098880,-74.031612,-16.12,-27.63,3.99
Gam Tuc,114996,349.357470,-58.235734,-34.93,79.59,3.99
5Gam Mon,29651,93.713880,-6.274776,-6.18,-20.06,3.99
78Iot Leo,55642,170.981040,10.529509,140.75,-77.80,4.00
Alp Vol,44382,135.611655,-66.396076,-2.01,-95.80,4.00
Jabbah,79374,242.998890,-19.460708,-9.70,-25.25,4.00
Gam2Nor,80000,244.960305,-50.155508,-159.36,-52.84,4.01
Zet Pav,91792,280.758900,-71.428113,1.25,-158.29,4.01
57Mu Eri,22109,71.375625,-3.254657,17.27,-13.51,4.01
28Ome CMa,35037,108.702735,-26.772667,-11.50,7.67,4.01
13The Dra,78527,240.472980,58.565251,-320.07,334.96,4.01
Mekbuda,34088,106.027215,20.570297,-5.72,-0.96,4.01
HIP 71865,71865,220.489980,-37.793498,-29.56,-30.68,4.01
41 Cyg,101076,307.348890,30.368555,6.87,-0.64,4.01
Phi Per,8068,25.915125,50.688732,24.08,-13.59,4.01
12 Aql,93429,285.420120,-5.739115,-24.15,-39.73,4.02
Gam Pyx,43409,132.633060,-27.709844,-133.49,88.16,4.02
Alchiba,59199,182.103375,-24.728875,100.18,-39.33,4.02
13Eps Aql,93244,284.905665,15.068298,-52.68,-73.81,4.02
48Iot Cnc,43103,131.674260,28.759898,-20.69,-43.95,4.03
70 Oph,88601,271.363695,2.500099,124.56,-962.66,4.03
Mu 1Cru,63003,193.648500,-57.177924,-30.45,-13.55,4.03
Aldulfin,101421,308.303205,11.303263,10.75,-28.54,4.03
28Ome Psc,118268,359.827875,6.863321,148.49,-112.16,4.03
9Gam Tri,10670,34.328595,33.847194,44.91,-52.42,4.03
10Bet Cam,23522,75.854550,60.442245,-6.11,-14.78,4.03
23The Boo,70497,216.299505,51.850744,-236.06,-399.07,4.04
3Nu Vir,57380,176.464830,6.529376,-19.65,-180.02,4.04
62Eta Aqr,111497,338.839080,-0.117498,88.56,-56.10,4.04
Beid,19587,62.966415,-6.837581,11.92,81.28,4.04
Iot Per,14632,47.265075,49.613278,1262.29,-91.53,4.05
Rho Lup,71536,219.471810,-49.425828,-27.78,-29.05,4.05
Psi Cen,70090,215.139345,-37.885295,-64.50,-11.39,4.05
5Ups Boo,67459,207.369345,15.797905,-93.64,40.76,4.05
71Tau2Aqr,112716,342.397920,-13.592632,-12.58,-38.80,4.05
HIP 42884,42884,131.099805,-42.649276,-23.88,19.46,4.05
Alp Cha,40702,124.630545,-76.919722,109.84,106.92,4.05
77Sig Leo,55434,170.284140,6.029322,-91.76,-12.83,4.05
Eps Mus,59929,184.393755,-67.960736,-231.26,-26.37,4.06
69Ups Gem,36962,113.980620,26.895741,-39.58,-108.08,4.06
Zet Cru,60009,184.609470,-64.003071,-33.19,-10.38,4.06
Eps1Ara,83153,254.896035,-53.160438,1.12,21.53,4.06
HIP 72010,72010,220.914360,-35.173655,-60.93,-176.82,4.06
15Gam Crt,55705,171.220530,-17.684010,-97.01,3.22,4.06
9Omi2Ori,22957,74.092815,13.514466,-77.77,-45.97,4.06
Lam Lup,74117,227.210910,-45.279857,-17.32,-26.11,4.07
Syrma,69701,214.003620,-6.000547,-25.84,-419.84,4.07
Bet Cir,74824,229.378755,-58.801208,-98.39,-135.46,4.07
27Del Cep,110991,337.292745,58.415198,16.47,3.55,4.07
13 Lyr,92862,283.833735,43.946088,19.94,80.60,4.08
14The CMa,33160,103.547505,-12.038628,-139.04,-14.47,4.08
Del Hyi,11001,35.437470,-68.659418,-50.07,2.38,4.08
HIP 46974,46974,143.611065,-59.229753,-11.23,6.02,4.08
23The Cap,104139,316.486770,-17.232861,79.64,-61.64,4.08
1 Peg,105502,320.521650,19.804508,105.94,62.61,4.08
11Tau3Eri,14146,45.597945,-23.624472,-145.96,-55.76,4.08
34Zet And,3693,11.834715,24.267178,-101.23,-81.89,4.08
Alkes,53740,164.943660,-18.298783,-462.39,129.11,4.08
82Del Cet,12387,39.870660,0.328511,14.44,-2.53,4.08
Gudja,77450,237.184905,18.141564,-51.78,-88.72,4.09
40Phi2Ori,26366,84.226620,9.290673,96.84,-304.18,4.09
Bet CrA,94160,287.507310,-39.340796,5.89,-36.78,4.10
Zet Tel,90568,277.207575,-49.070588,137.90,-229.14,4.10
Titawin,7513,24.199485,41.405459,-172.57,-381.01,4.10
13The Per,12777,41.049510,49.228448,334.03,-89.96,4.10
HIP 38164,38164,117.309570,-46.373205,-4.62,9.04,4.10
Zhang,48356,147.869550,-14.846603,18.68,-21.88,4.11
Gam Cha,51839,158.867490,-78.607786,-38.00,11.53,4.11
HIP 57439,57439,176.628480,-61.178398,-21.85,-16.23,4.11
Iot Eri,12486,40.166715,-39.855375,135.17,-27.34,4.11
HIP 42312,42312,129.410985,-42.989081,-10.38,9.47,4.11
Muliphein,34045,105.939555,-15.633286,-0.81,-11.20,4.11
Eps TrA,76440,234.180000,-66.317037,24.51,-54.66,4.11
Zet Gru,113638,345.220155,-52.754137,-65.09,-12.91,4.11
Meridiana,94114,287.368035,-37.904474,85.73,-96.65,4.11
61Mu Ori,28614,90.595830,9.647276,14.19,-37.44,4.12
Iot Sgr,98032,298.815390,-41.868288,23.37,51.60,4.12
51Mu Per,19812,63.724425,48.409331,5.04,-17.35,4.12
Eps Hyi,12394,39.896985,-68.266946,87.40,0.56,4.12
9Omi Vir,58948,181.302255,8.732985,-220.32,57.52,4.12
18Ome Cap,102978,312.955380,-26.919133,-7.97,-2.54,4.12
Del2Gru,111043,337.439325,-43.749224,-14.93,1.79,4.12
29 Ori,25247,80.986785,-7.808065,-13.91,-44.80,4.13
17Iot Psc,116771,354.987660,5.626292,376.32,-437.00,4.13
Bet Oct,112405,341.515380,-81.381615,-55.35,0.88,4.13
46The Lib,77853,238.456395,-16.729293,100.12,135.27,4.13
16Psi Cap,102485,311.523900,-25.270898,-51.38,-156.66,4.13
18Nu Gem,30883,97.240785,20.212133,-5.98,-14.08,4.13
4Del Hya,42313,129.414030,5.703782,-70.27,-6.99,4.14
4The CrB,76127,233.232435,31.359133,-19.62,-8.94,4.14
Eta Cru,59072,181.720305,-64.613730,34.27,-37.49,4.14
10Kap Peg,107354,326.161380,25.645036,46.66,13.47,4.14
1 Lac,109937,333.992400,37.748737,8.74,0.76,4.14
5 Tau,16369,52.718235,12.936678,18.94,-1.55,4.14
13Eps CrB,78159,239.396910,26.877880,-76.55,-60.24,4.14
Merope,17608,56.581560,23.948358,21.17,-42.67,4.14
22Del Mon,34769,107.966085,-0.492764,-0.22,6.68,4.15
19Kap And,116805,355.102035,44.333932,81.33,-18.96,4.15
75Rho Her,85112,260.920620,37.145946,-38.58,9.19,4.15
44 Oph,85340,261.592560,-24.175309,-1.97,-117.69,4.16
62Rho Gem,36366,112.277925,31.784550,159.33,193.82,4.16
1 Gem,28734,91.030065,23.263341,-2.60,-119.72,4.16
HIP 17874,17874,57.363555,-36.200250,-49.42,-56.63,4.17
15Kap Cas,2599,8.249955,62.931783,3.99,-2.10,4.17
Ancha,110003,334.208475,-7.783290,118.95,-21.91,4.17
HIP 81304,81304,249.093630,-35.255326,14.72,12.14,4.18
Kang,69427,213.223935,-10.273702,8.04,140.79,4.18
Xuange,69732,214.096110,46.088305,-187.42,159.01,4.18
18Eps PsA,111954,340.163910,-27.043617,22.01,-0.88,4.18
23Eps Cep,109857,333.758160,57.043587,476.45,50.00,4.18
2 Cen,67457,207.361365,-34.450776,-42.59,-59.87,4.19
110 Her,92043,281.415525,20.546308,-9.25,-335.65,4.19
23Del PsA,113246,343.987080,-32.539628,10.84,30.32,4.20
46Xi Peg,112447,341.673240,12.172888,233.06,-492.04,4.20
32 Ori,25813,82.696050,5.948139,6.57,-32.45,4.20
35Sig Her,81126,248.525760,42.437041,-9.03,59.80,4.20
11 Pup,38835,119.214750,-22.880119,-29.61,12.28,4.20
31Bet LMi,51233,156.970905,36.707212,-127.52,-109.62,4.20
22Eps UMi,82080,251.492385,82.037262,19.54,4.67,4.21
HIP 16228,16228,52.267230,59.940330,-0.82,-1.85,4.21
Gam Pav,105858,321.610575,-65.366198,81.08,800.68,4.21
2The Cep,101093,307.395225,62.994105,45.00,-13.31,4.21
65Kap1Tau,20635,66.342330,22.293874,105.49,-44.14,4.21
16 Per,13254,42.645945,38.318644,195.68,-108.92,4.22
67Sig Cyg,105102,319.353975,39.394681,0.43,-3.61,4.22
HIP 38518,38518,118.325670,-48.102934,-4.90,5.89,4.22
43Phi Dra,89908,275.189325,71.337814,-5.91,35.79,4.22
Bet Sct,92175,281.793630,-4.747867,-7.71,-15.89,4.22
27Tau6Eri,17651,56.712060,-23.249723,-159.86,-528.54,4.22
90Phi Aqr,114724,348.580665,-6.049003,46.22,-195.85,4.22
The Lup,78918,241.648110,-36.802288,-15.84,-31.06,4.22
Lam Pav,92609,283.054320,-62.187593,-1.33,-13.53,4.22
7Chi Oph,80569,246.755985,-18.456251,-5.58,-22.22,4.22
12Del2Lyr,92791,283.626180,36.898613,-6.73,3.26,4.22
52 Cyg,102453,311.415645,30.719715,-8.01,24.04,4.22
Zet Tuc,1599,5.012130,-64.874791,1707.56,1165.36,4.23
1 Cen,67153,206.422065,-33.043721,-461.85,-146.17,4.23
11Phi Her,79101,242.192430,44.934906,-25.98,35.86,4.23
43Bet Com,64394,197.968560,27.878183,-801.94,882.70,4.23
93Tau Vir,68520,210.411645,1.544532,17.41,-21.20,4.23
75Sig Gem,37629,115.828005,28.883510,61.84,-231.26,4.23
81Pi 2Cyg,107533,326.698365,49.309570,3.61,-1.86,4.23
Mu Cep,107259,325.876905,58.780046,5.24,-2.88,4.23
Gam CrA,93825,286.604565,-37.063437,96.93,-279.67,4.23
Bet Aps,81852,250.771890,-77.517435,-282.83,-355.03,4.23
Kap Eri,11407,36.746325,-47.703840,19.97,-5.44,4.24
89Pi Cet,12770,41.030625,-13.858696,-7.58,-8.40,4.24
56Omi Ser,86565,265.353645,-12.875307,-72.16,-55.22,4.24
HIP 80911,80911,247.845555,-34.704366,-11.51,-18.56,4.24
Chara,61317,188.436165,41.357480,-705.06,292.93,4.24
91Psi1Aqr,114855,348.972885,-9.087737,368.56,-17.02,4.24
HIP 5372,5372,17.184195,86.257090,80.34,-11.36,4.24
Bet Cha,60000,184.587180,-79.312240,-38.07,12.00,4.24
5 UMi,70692,216.881370,75.695993,8.71,22.09,4.25
Kap Tuc,5896,18.940560,-68.875927,411.11,127.43,4.25
47Lam Per,19167,61.646025,50.351262,-13.03,-36.37,4.25
69Lam Eri,23972,77.286600,-8.754081,0.00,-2.01,4.25
58 Per,21476,69.172620,41.264808,-5.42,-19.19,4.25
HIP 62896,62896,193.359105,-40.178872,69.64,-21.83,4.25
Alsciaukat,41075,125.708820,43.188131,-25.62,-99.44,4.25
88 Tau,21402,68.913585,10.160790,44.89,-52.42,4.25
10Nu Cep,107418,326.362200,61.120806,-3.08,-1.86,4.25
Kurhah,108917,330.947025,64.627971,214.46,89.29,4.26
HIP 86170,86170,264.136815,-38.635308,-18.47,-182.29,4.26
Torcular,8198,26.348460,9.157736,70.82,38.99,4.26
95 Her,88267,270.376695,21.595782,7.55,38.79,4.26
Gam Dor,19893,64.006455,-51.486648,100.57,184.23,4.26
Acubens,44066,134.621760,11.857701,41.45,-29.22,4.26
9Alp Cam,22783,73.512540,66.342678,0.49,7.31,4.26
82 G. Eri,15510,49.979160,-43.069784,3038.08,726.34,4.26
19Tau5Eri,16611,53.446980,-21.632883,44.91,-27.47,4.26
42Phi And,5434,17.375520,47.241792,3.81,-13.02,4.26
90 Tau,21589,69.539415,12.510838,101.73,-14.90,4.27
94Tau Tau,21881,70.561260,22.956926,-2.84,-20.33,4.27
10The Psc,115830,351.992070,6.378992,-123.83,-43.26,4.27
49Mu Tau,19860,63.883575,8.892357,20.39,-21.75,4.27
Mu Lup,74911,229.633455,-47.875272,-31.74,-32.82,4.27
71Eps Psc,4906,15.735870,7.890135,-80.57,25.88,4.27
Arkab Posterior,95294,290.804640,-44.799778,92.78,-53.73,4.27
87Mu Cet,12828,41.235585,10.114146,285.17,-30.40,4.27
12Gam2Del,102532,311.664600,16.124296,-25.88,-196.27,4.27
Xi 2Cen,64004,196.727700,-49.906246,-26.24,-12.43,4.27
32Iot Cap,105515,320.561640,-16.834542,30.83,5.26,4.28
29Pi 2Peg,109410,332.496855,33.178224,-12.34,-17.94,4.28
The Gru,114131,346.719750,-43.520358,-48.35,-13.98,4.28
45 Oph,85423,261.838635,-29.867033,14.38,-137.41,4.28
Alp Ant,51172,156.787950,-31.067779,-80.42,9.63,4.28
33 Cyg,99655,303.349320,56.567722,60.85,82.26,4.28
69Ups Tau,20711,66.576915,22.813583,108.66,-45.83,4.28
HIP 47193,47193,144.272265,81.326382,-16.77,-15.95,4.28
17Bet PsA,111188,337.876350,-32.346073,59.64,-18.70,4.29
16Zet UMi,77055,236.014485,77.794493,20.07,-2.50,4.29
Bet Hya,57936,178.227195,-33.908124,-58.02,2.40,4.29
33Iot Aqr,109139,331.609290,-13.869679,40.45,-57.16,4.29
HIP 52154,52154,159.826680,-55.603268,-18.87,4.31,4.29
6Lam Lep,24845,79.893855,-13.176788,-2.49,-4.74,4.29
8Phi Oph,80894,247.784865,-16.612733,-44.57,-38.04,4.29
10 Tau,16852,54.218265,0.401662,-232.69,-482.00,4.29
17Iot And,116631,354.534150,43.268073,27.72,-1.21,4.29
Taygeta,17531,56.302050,24.467278,19.35,-41.63,4.30
5Alp1Cap,100027,304.411950,-12.508212,22.24,0.75,4.30
Alp Scl,4577,14.651490,-29.357449,22.44,6.30,4.30
91Ups Leo,56647,174.237210,-0.823749,1.30,43.43,4.30
73Xi 2Cet,11484,37.039755,8.460054,41.72,-14.46,4.30
35Pi Aur,28404,89.983755,45.936736,-2.42,-7.32,4.30
HIP 70069,70069,215.081445,-56.386497,-9.29,-7.57,4.30
HIP 57669,57669,177.421155,-63.788478,-17.93,4.44,4.30
8Eta Crv,61174,188.017650,-16.196007,-424.37,-58.41,4.30
HIP 17797,17797,57.149445,-37.620155,75.83,-10.69,4.30
54 Leo,53417,163.903350,24.749718,-78.41,-14.89,4.30
7Eta Hya,42799,130.806150,3.398662,-19.14,-1.29,4.30
68Del3Tau,20648,66.372420,17.927910,108.26,-32.47,4.30
71 Aql,101847,309.584505,-1.105121,15.66,-17.01,4.31
HIP 42568,42568,130.154295,-59.761003,-6.87,4.92,4.31
Alkalurops,75411,231.122715,37.377167,-147.68,84.69,4.31
Del Oct,70638,216.732015,-83.667884,-95.79,-12.91,4.31
10Ome2Sco,78990,241.851360,-20.868764,43.68,-45.30,4.31
Omi Lup,72683,222.909615,-43.575359,-24.79,-26.80,4.32
53Nu Ser,84880,260.206920,-12.846875,42.75,2.72,4.32
Alterf,46750,142.930125,22.967971,-19.38,-39.04,4.32
44Kap Aur,29696,93.844560,29.498076,-70.90,-261.73,4.32
Diadem,64241,197.497035,17.529431,-445.95,129.69,4.32
119 Tau,25945,83.053125,18.594234,-0.34,-4.51,4.32
The1Cru,58758,180.756705,-63.312930,-152.53,6.10,4.32
12 Hya,43067,131.593905,-13.547720,17.57,-6.22,4.32
54 Eri,21763,70.110465,-19.671493,28.21,-97.09,4.32
3 Cen,67669,207.956685,-32.994089,-35.74,-30.14,4.32
37Psi Per,16826,54.122385,48.192634,21.41,-27.58,4.32
HIP 62867,62867,193.278870,-48.943315,-79.18,-25.34,4.33
Tau2Lup,70576,216.545040,-45.379276,13.55,-6.35,4.33
Guniibuu,84405,258.837540,-26.602829,-473.69,-1143.93,4.33
1Kap Lyr,89826,274.965465,36.064547,-16.14,41.32,4.33
Pi Pav,88866,272.145000,-63.668553,17.45,-207.64,4.33
4Gam CMi,36284,112.040805,8.925530,-59.29,10.76,4.33
30Eps And,3031,9.639030,29.311751,-229.41,-254.08,4.34
5 Lac,111022,337.382595,47.706887,-0.60,-3.37,4.34
33The Cas,5542,17.775255,55.149901,226.62,-19.34,4.34
111 Her,92161,281.755290,18.181519,83.74,119.01,4.34
Ups2Cen,68523,210.431220,-45.603421,3.89,-20.94,4.34
The Cha,40888,125.161725,-77.484477,-129.09,40.78,4.34
29Pi And,2912,9.220200,33.719344,15.23,-3.56,4.34
6Zet1Lyr,91971,281.193135,37.605115,29.26,26.57,4.34
Ome Lup,76552,234.513480,-42.567348,-147.60,56.35,4.34
49Sig Oph,85355,261.628665,4.140360,1.25,7.09,4.34
HIP 47175,47175,144.206580,-49.355026,-130.56,42.29,4.34
Del Dor,27100,86.193345,-65.735526,-28.38,6.12,4.34
4Xi 1CMa,31125,97.964025,-23.418422,-2.72,6.45,4.34
9 Peg,107348,326.127900,17.350017,7.90,-10.75,4.34
HIP 45496,45496,139.050360,-57.541473,-27.77,-14.77,4.34
HIP 31407,31407,98.744100,-52.975607,-7.65,11.33,4.35
9Iot PsA,107380,326.236695,-33.025781,31.79,-94.00,4.35
Xi Pav,90098,275.806755,-61.493901,0.53,1.70,4.35
2 Lup,74857,229.457670,-30.148673,-8.71,-4.47,4.35
Yildun,85822,263.053770,86.586460,10.54,53.97,4.35
2Pi 2Ori,22509,72.653010,8.900176,-0.87,-31.57,4.35
Eps Vol,39794,121.982595,-68.617062,-29.88,30.58,4.35
Botein,14838,47.907330,19.726677,154.61,-8.39,4.35
21The Lyr,94713,289.092060,38.133731,-0.49,1.23,4.35
15Gam Com,60742,186.734490,28.268423,-83.41,-80.99,4.35
15 Lyn,33449,104.319180,58.422759,6.58,-123.53,4.35
13Rho Hya,43234,132.108210,5.837812,-17.51,-29.79,4.35
61Ome Eri,22701,73.223625,-5.452695,-18.01,25.03,4.36
4Kap Lep,24327,78.307830,-12.941291,-12.22,-1.32,4.36
20Iot CMa,33347,104.034270,-17.054242,-2.46,1.91,4.36
65Xi 1Cet,10324,33.249975,8.846717,-26.23,-14.40,4.36
37 Tau,19038,61.173795,22.081926,91.73,-58.52,4.36
Bet1Tuc,2484,7.885875,-62.958218,82.48,-54.37,4.36
Chi Cen,68862,211.511550,-41.179633,-24.42,-21.63,4.36
41Iot Aql,96468,294.180330,-1.286601,1.89,-20.75,4.36
Eta Phe,3405,10.838505,-57.463060,-5.16,15.50,4.36
29Zet Mon,39863,122.148540,-2.983786,-16.79,-3.89,4.36
Gam Col,28199,89.384205,-35.283280,-2.65,11.19,4.36
35Sig Per,16335,52.643685,47.995216,1.56,18.13,4.36
HIP 53773,53773,165.038580,-42.225859,23.00,4.50,4.37
102 Her,88886,272.189550,20.814557,-2.71,-6.20,4.37
30 Psc,154,0.490080,-6.014072,46.62,-41.32,4.37
The1Sgr,98412,299.934075,-35.276305,6.02,-25.15,4.37
Kap Col,29807,94.138065,-35.140519,0.39,87.58,4.37
30Tau CMa,35415,109.677030,-24.954375,-1.82,3.74,4.37
1Kap Cep,99255,302.222175,77.711419,11.11,23.72,4.38
51The Vir,64238,197.487465,-5.539010,-35.08,-32.80,4.38
99 Aqr,115669,351.511620,-20.642014,-50.13,-62.97,4.38
Bet Scl,116231,353.242680,-37.818268,96.39,37.58,4.38
40Xi Oph,84893,260.251515,-21.112933,262.01,-204.74,4.39
54Chi1Ori,27913,88.595790,20.276174,-163.17,-98.92,4.39
The Ind,105319,319.966440,-53.449427,107.37,-67.12,4.39
110 Vir,73620,225.725160,2.091303,-55.93,12.94,4.39
25Iot Oph,82673,253.501965,10.165359,-53.75,-34.68,4.39
Psi Phe,8837,28.411530,-46.302669,-92.38,-91.46,4.39
8Eps Mon,30419,95.942025,4.592865,-20.88,10.75,4.39
Sham,96757,295.024125,18.013890,15.09,-19.72,4.39
6Bet Sge,96837,295.262250,17.476041,9.06,-33.90,4.39
